"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2040 00:00:00.000,1 Jan 2040 03:43:48.116,13428.116
2,1 Jan 2040 13:21:47.574,1 Jan 2040 23:14:18.489,35550.915
3,2 Jan 2040 01:11:10.739,2 Jan 2040 09:25:44.094,29673.355
4,2 Jan 2040 22:54:47.547,3 Jan 2040 07:12:19.573,29852.027
5,3 Jan 2040 08:58:36.814,3 Jan 2040 16:53:17.456,28480.642
6,4 Jan 2040 06:28:43.498,4 Jan 2040 14:48:31.782,29988.285
7,4 Jan 2040 16:38:28.677,5 Jan 2040 01:02:34.408,30245.732
8,5 Jan 2040 14:03:23.992,6 Jan 2040 06:32:31.386,59347.394
9,6 Jan 2040 13:52:11.409,7 Jan 2040 00:16:32.714,37461.305
10,7 Jan 2040 02:15:20.528,7 Jan 2040 10:33:25.175,29884.647
11,8 Jan 2040 00:01:12.294,8 Jan 2040 08:19:46.174,29913.880
12,8 Jan 2040 10:06:11.045,8 Jan 2040 18:00:51.175,28480.129
13,9 Jan 2040 07:36:41.369,9 Jan 2040 15:55:19.761,29918.392
14,9 Jan 2040 17:44:39.714,10 Jan 2040 02:04:18.822,29979.108
15,10 Jan 2040 15:10:38.539,11 Jan 2040 10:18:18.155,68859.616
16,11 Jan 2040 13:42:31.164,12 Jan 2040 01:17:33.248,41702.083
17,12 Jan 2040 03:18:45.238,12 Jan 2040 11:40:58.275,30133.036
18,13 Jan 2040 01:07:18.618,13 Jan 2040 09:27:02.997,29984.379
19,13 Jan 2040 11:13:37.338,13 Jan 2040 19:08:25.363,28488.025
20,14 Jan 2040 08:44:34.374,14 Jan 2040 17:02:13.378,29859.004
21,14 Jan 2040 18:51:01.001,15 Jan 2040 03:06:49.762,29748.762
22,15 Jan 2040 16:17:40.188,16 Jan 2040 02:44:19.247,37599.059
23,16 Jan 2040 07:44:45.653,17 Jan 2040 02:16:52.593,66726.940
24,17 Jan 2040 04:21:09.055,17 Jan 2040 12:48:23.403,30434.348
25,18 Jan 2040 02:13:04.596,18 Jan 2040 10:34:13.030,30068.434
26,18 Jan 2040 12:20:58.705,18 Jan 2040 20:15:59.783,28501.078
27,19 Jan 2040 09:52:22.551,19 Jan 2040 18:09:09.311,29806.760
28,19 Jan 2040 19:57:28.692,20 Jan 2040 04:09:59.838,29551.146
29,20 Jan 2040 17:24:37.165,21 Jan 2040 03:14:03.629,35366.464
30,21 Jan 2040 07:06:39.411,21 Jan 2040 08:58:22.555,6703.145
31,21 Jan 2040 11:19:51.710,22 Jan 2040 03:13:53.304,57241.594
32,22 Jan 2040 05:22:13.556,22 Jan 2040 13:55:40.234,30806.678
33,23 Jan 2040 03:18:27.740,23 Jan 2040 11:41:18.193,30170.453
34,23 Jan 2040 13:28:17.508,23 Jan 2040 21:23:34.280,28516.772
35,24 Jan 2040 11:00:05.947,24 Jan 2040 19:16:05.706,29759.759
36,24 Jan 2040 21:04:00.370,25 Jan 2040 05:13:43.101,29382.731
37,25 Jan 2040 18:31:33.603,26 Jan 2040 03:59:43.260,34089.657
38,26 Jan 2040 06:45:36.643,26 Jan 2040 13:23:23.186,23866.543
39,26 Jan 2040 14:44:17.685,27 Jan 2040 04:07:37.592,48199.907
40,27 Jan 2040 06:21:36.275,27 Jan 2040 15:02:48.165,31271.890
41,28 Jan 2040 04:23:25.276,28 Jan 2040 12:48:16.065,30290.789
42,28 Jan 2040 14:35:31.973,28 Jan 2040 22:31:08.945,28536.972
43,29 Jan 2040 12:07:44.547,29 Jan 2040 20:23:03.243,29718.696
44,29 Jan 2040 22:10:36.159,30 Jan 2040 06:17:54.729,29238.571
45,30 Jan 2040 19:38:31.685,31 Jan 2040 00:00:00.000,15688.315

